time,x1,y1,z1,a1,e1 ,r1,x2,y2,z2,a2,e2,r2,x3,y3,z3,a3,e3,r3,x4,y4,z4,a4,e4,r4,V0,V1,V2,V3,V4,V5
250.0007,5.567871094,12.69140625,2.522460938,36.05712891,88.08837891,-80.06835938,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.163574219,0.399658218,0.564704828,-0.242045646,0.640905129,-0.082511371,0.480398112
260.0007,5.567871094,12.69140625,2.522460938,36.03515625,88.08837891,-80.11230469,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.565029084,-0.242694159,0.641553642,-0.082187115,0.481046625
270.0007,5.567871094,12.69140625,2.522460938,35.99121094,88.08837891,-80.13427734,14.0625,4.697753906,-0.140625,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.564704828,-0.242694159,0.641229386,-0.082511371,0.480073855
280.0007,5.567871094,12.69140625,2.522460938,35.99121094,88.08837891,-80.13427734,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399009705,0.564704828,-0.243018416,0.641229386,-0.082187115,0.480398112
290.0007,5.567871094,12.69140625,2.522460938,35.99121094,88.08837891,-80.15625,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.565029084,-0.243018416,0.641553642,-0.081538602,0.480398112
300.0007,5.567871094,12.69140625,2.522460938,36.01318359,88.08837891,-80.13427734,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399658218,0.565029084,-0.243018416,0.641229386,-0.081862858,0.480398112
310.0007,5.567871094,12.69140625,2.522460938,36.01318359,88.08837891,-80.13427734,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.8984375,6.420410156,-0.382324219,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399009705,0.565353341,-0.243666929,0.641877899,-0.081862858,0.480073855
320.0007,5.567871094,12.69140625,2.522460938,35.99121094,88.08837891,-80.15625,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399658218,0.565677598,-0.243666929,0.641877899,-0.080890088,0.481370881
330.0007,5.567871094,12.69140625,2.522460938,35.96923828,88.08837891,-80.17822266,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.564704828,-0.243666929,0.641553642,-0.081862858,0.480398112
340.0007,5.567871094,12.69140625,2.522460938,35.92529297,88.08837891,-80.22216797,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399658218,0.565353341,-0.243342672,0.641877899,-0.081214345,0.480398112
350.0007,5.563476563,12.69140625,2.522460938,35.88134766,88.08837891,-80.26611328,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399009705,0.565677598,-0.243991186,0.641877899,-0.081214345,0.480398112
360.0007,5.563476563,12.69140625,2.522460938,35.859375,88.08837891,-80.31005859,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.565353341,-0.243342672,0.641229386,-0.081214345,0.480722368
370.0007,5.563476563,12.69140625,2.522460938,35.81542969,88.08837891,-80.33203125,14.0625,4.697753906,-0.145019531,157.2363281,11.40380859,54.93164063,10.90283203,6.420410156,-0.377929688,154.050293,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399658218,0.565353341,-0.243342672,0.641553642,-0.081862858,0.480398112
380.0007,5.563476563,12.69140625,2.522460938,35.83740234,88.08837891,-80.33203125,14.0625,4.697753906,-0.145019531,157.2363281,11.40380859,54.93164063,10.90283203,6.420410156,-0.377929688,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.565353341,-0.243018416,0.641553642,-0.081214345,0.480722368
390.0008,5.563476563,12.69140625,2.522460938,35.83740234,88.08837891,-80.31005859,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.565029084,-0.242369902,0.641229386,-0.081862858,0.480073855
400.0008,5.563476563,12.69140625,2.522460938,35.88134766,88.08837891,-80.26611328,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399333962,0.565029084,-0.242045646,0.641229386,-0.082511371,0.480398112
410.0009,5.563476563,12.69140625,2.522460938,35.92529297,88.08837891,-80.24414063,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.377929688,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.399009705,0.565029084,-0.242694159,0.641229386,-0.082511371,0.480073855
420.0009,5.563476563,12.69140625,2.522460938,35.99121094,88.08837891,-80.15625,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.564704828,-0.242045646,0.640905129,-0.082187115,0.480073855
430.0009,5.563476563,12.69140625,2.522460938,36.03515625,88.06640625,-80.11230469,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.564380571,-0.242694159,0.640905129,-0.082187115,0.480398112
440.0009,5.563476563,12.69140625,2.522460938,36.10107422,88.06640625,-80.06835938,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398685448,0.563732058,-0.242369902,0.640580872,-0.081538602,0.479425342
450.0009,5.563476563,12.69140625,2.522460938,36.14501953,88.06640625,-80.02441406,14.0625,4.697753906,-0.145019531,157.2363281,11.38183594,54.93164063,10.90283203,6.420410156,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398036935,0.563732058,-0.243666929,0.641229386,-0.080890088,0.479425342
